mobile_deliverytype,mobile_name,mobile_price,mobile_rating
,"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage)","22,999",4
FREE Delivery by Amazon,"Redmi 9 Power (Blazing Blue, 4GB RAM, 64GB Storage) - 6000mAh Battery | 48MP Quad Camera | Extra INR 1000 Amazon Pay Cashback","10,999",3
,"Samsung Galaxy M31 Prime Edition (Space Black, 6GB RAM, 128GB Storage)","15,999",2
FREE Delivery by Amazon,Redmi 9 Power (Mighty Black 4GB RAM 64GB Storage) - 6000mAh Battery | 48MP Quad Camera | Extra INR 1000 Amazon Pay cashback,"10,999",1
,"Redmi 9 Power (Electric Green, 4GB RAM, 64GB Storage) - 6000mAh Battery | 48MP Quad Camera | Extra INR 1000 Amazon Pay Cashback","10,999",4.4
FREE Delivery by Amazon,"Redmi 9A (Sea Blue, 2GB Ram, 32GB Storage)","6,999",3.7
,"Redmi Note 9 Pro (Aurora Blue, 4GB RAM, 64GB Storage) - Latest 8nm Snapdragon 720G & Alexa Hands-Free | Upto 6 Months No Cost EMI","12,999",4.2
FREE Delivery by Amazon,"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","15,999",3.7
,"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)","12,499",3.7
FREE Delivery by Amazon,"Redmi 9 Power (Fiery Red, 4GB RAM, 64GB Storage) - 6000mAh Battery | 48MP Quad Camera | Extra INR 1000 Amazon Pay Cashback","10,999",4.1
,"Redmi Note 9 Pro Max (Aurora Blue, 6GB RAM, 64GB Storage)- 64MP Quad Camera & Alexa Hands-Free | Upto 12 Months No Cost EMI |Extra INR 1000 Off with Coupons","14,999",4.2
FREE Delivery by Amazon,"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | Upto 6 Months No Cost EMI","12,999",4.2
,"Redmi 9A (Nature Green, 2GB Ram, 32GB Storage)","6,999",4.2
FREE Delivery by Amazon,"Samsung Galaxy M31s (Mirage Blue, 6GB RAM, 128GB Storage)","17,999",3.7
,"Redmi 9A (Midnight Black, 2GB RAM, 32GB Storage)","6,999",4.1
